epoch,training_accuracy,training_loss,validation_accuracy,validation_loss
1,96.38,0.0286249,97.05,0.0227651
2,97.35,0.0210253,97.95,0.0156959
3,97.95,0.0163964,98.45,0.0123793
4,97.27,0.0224997,98,0.0164111
5,98.34,0.0135246,98.4833,0.0123972
6,98.48,0.0123783,98.7,0.0105854
7,98.47,0.012432,98.6333,0.0112102
8,98.85,0.0103092,98.7667,0.0095837
9,98.8,0.0101732,98.8667,0.00932505
10,98.91,0.00920351,98.85,0.00957919
11,98.86,0.00935801,98.7833,0.009727
12,98.75,0.0101298,98.8833,0.00922501
13,99.04,0.00838812,98.8667,0.00944635
14,98.74,0.0110326,98.8667,0.00975071
15,98.93,0.00932898,99,0.00880532
16,99.15,0.00730611,99.0167,0.0089778
17,99.03,0.00784208,98.8667,0.00951362
18,99.15,0.00730901,99,0.00861727
19,99.24,0.00671853,98.85,0.00939165
20,99.29,0.00600235,99.1333,0.00737318
